"","Jahr","Quarter","Stadt","total"
"1509",2022,1,"Duisburg",82004
"1510",2023,1,"Duisburg",122557
"1511",2024,1,"Duisburg",116963
"1512",1998,2,"Duisburg",78161
"1513",1999,2,"Duisburg",85125
"1514",2000,2,"Duisburg",86568
"1515",2001,2,"Duisburg",82135
"1516",2002,2,"Duisburg",87027
"1517",2003,2,"Duisburg",82806
"1518",2004,2,"Duisburg",93792
"1519",2005,2,"Duisburg",88544
"1520",2006,2,"Duisburg",97827
"1521",2007,2,"Duisburg",87650
"1522",2008,2,"Duisburg",97606
"1523",2009,2,"Duisburg",90470
"1524",2010,2,"Duisburg",110864
"1525",2011,2,"Duisburg",106519
"1526",2012,2,"Duisburg",102918
"1527",2013,2,"Duisburg",103904
"1528",2014,2,"Duisburg",122498
"1529",2015,2,"Duisburg",121738
"1530",2016,2,"Duisburg",141173
"1531",2017,2,"Duisburg",145874
"1532",2018,2,"Duisburg",147199
"1533",2019,2,"Duisburg",151826
"1534",2020,2,"Duisburg",37894
"1535",2021,2,"Duisburg",51993
"1536",2022,2,"Duisburg",144846
"1537",2023,2,"Duisburg",168118
"1538",2024,2,"Duisburg",158631
"1539",1998,3,"Duisburg",76544
"1540",1999,3,"Duisburg",88359
"1541",2000,3,"Duisburg",83670
"1542",2001,3,"Duisburg",93192
"1543",2002,3,"Duisburg",79434
"1544",2003,3,"Duisburg",78969
"1545",2004,3,"Duisburg",87039
"1546",2005,3,"Duisburg",95936
"1547",2006,3,"Duisburg",91443
"1548",2007,3,"Duisburg",95916
"1549",2008,3,"Duisburg",101365
"1550",2009,3,"Duisburg",94299
"1551",2010,3,"Duisburg",111975
"1552",2011,3,"Duisburg",111032
"1553",2012,3,"Duisburg",102864
"1554",2013,3,"Duisburg",116568
"1555",2014,3,"Duisburg",125988
"1556",2015,3,"Duisburg",121523
"1557",2016,3,"Duisburg",136928
"1558",2017,3,"Duisburg",151233
"1559",2018,3,"Duisburg",142891
"1560",2019,3,"Duisburg",148973
"1561",2020,3,"Duisburg",95190
"1562",2021,3,"Duisburg",105362
"1563",2022,3,"Duisburg",167125
"1564",2023,3,"Duisburg",164993
"1565",1998,4,"Duisburg",81839
"1566",1999,4,"Duisburg",84466
"1567",2000,4,"Duisburg",83561
"1568",2001,4,"Duisburg",87387
"1569",2002,4,"Duisburg",78959
"1570",2003,4,"Duisburg",79842
"1571",2004,4,"Duisburg",88133
"1572",2005,4,"Duisburg",82840
"1573",2006,4,"Duisburg",82137
"1574",2007,4,"Duisburg",90792
"1575",2008,4,"Duisburg",90289
"1576",2009,4,"Duisburg",103025
"1577",2010,4,"Duisburg",99445
"1578",2011,4,"Duisburg",105349
"1579",2012,4,"Duisburg",96546
"1580",2013,4,"Duisburg",120057
"1581",2014,4,"Duisburg",114045
"1582",2015,4,"Duisburg",118867
"1583",2016,4,"Duisburg",132023
"1584",2017,4,"Duisburg",140375
"1585",2018,4,"Duisburg",143194
"1586",2019,4,"Duisburg",148985
"1587",2020,4,"Duisburg",53453
"1588",2021,4,"Duisburg",103413
"1589",2022,4,"Duisburg",146745
"1590",2023,4,"Duisburg",142964
"1591",1998,1,"Dortmund",153687
"1592",1999,1,"Dortmund",155505
"1593",2000,1,"Dortmund",156555
"1594",2001,1,"Dortmund",140548
"1595",2002,1,"Dortmund",147080
"1596",2003,1,"Dortmund",154576
"1597",2004,1,"Dortmund",182943
"1598",2005,1,"Dortmund",163459
"1599",2006,1,"Dortmund",177673
"1600",2007,1,"Dortmund",196738
"1601",2008,1,"Dortmund",193433
"1602",2009,1,"Dortmund",188314
"1603",2010,1,"Dortmund",201490
"1604",2011,1,"Dortmund",221518
"1605",2012,1,"Dortmund",258838
"1606",2013,1,"Dortmund",238075
"1607",2014,1,"Dortmund",255114
"1608",2015,1,"Dortmund",258434
"1609",2016,1,"Dortmund",285152
"1610",2017,1,"Dortmund",308224
"1611",2018,1,"Dortmund",317562
"1612",2019,1,"Dortmund",340000
"1613",2020,1,"Dortmund",273311
"1614",2021,1,"Dortmund",79480
"1615",2022,1,"Dortmund",177650
"1616",2023,1,"Dortmund",322655
"1617",2024,1,"Dortmund",341581
"1618",1998,2,"Dortmund",142726
"1619",1999,2,"Dortmund",161530
"1620",2000,2,"Dortmund",154632
"1621",2001,2,"Dortmund",138005
"1622",2002,2,"Dortmund",150878
"1623",2003,2,"Dortmund",157572
"1624",2004,2,"Dortmund",171175
"1625",2005,2,"Dortmund",180509
"1626",2006,2,"Dortmund",210170
"1627",2007,2,"Dortmund",199861
"1628",2008,2,"Dortmund",209559
"1629",2009,2,"Dortmund",173682
"1630",2010,2,"Dortmund",215944
"1631",2011,2,"Dortmund",221849
"1632",2012,2,"Dortmund",253856
"1633",2013,2,"Dortmund",245633
"1634",2014,2,"Dortmund",277962
"1635",2015,2,"Dortmund",269969
"1636",2016,2,"Dortmund",309467
"1637",2017,2,"Dortmund",326409
"1638",2018,2,"Dortmund",327407
"1639",2019,2,"Dortmund",354704
"1640",2020,2,"Dortmund",89185
"1641",2021,2,"Dortmund",111523
"1642",2022,2,"Dortmund",311439
"1643",2023,2,"Dortmund",390453
"1644",2024,2,"Dortmund",412982
"1645",1998,3,"Dortmund",145436
"1646",1999,3,"Dortmund",148381
"1647",2000,3,"Dortmund",142871
"1648",2001,3,"Dortmund",149795
"1649",2002,3,"Dortmund",148349
"1650",2003,3,"Dortmund",172933
"1651",2004,3,"Dortmund",160513
"1652",2005,3,"Dortmund",169596
"1653",2006,3,"Dortmund",188816
"1654",2007,3,"Dortmund",193078
"1655",2008,3,"Dortmund",190710
"1656",2009,3,"Dortmund",187498
"1657",2010,3,"Dortmund",208309
"1658",2011,3,"Dortmund",225573
"1659",2012,3,"Dortmund",233066
"1660",2013,3,"Dortmund",253249
"1661",2014,3,"Dortmund",260114
"1662",2015,3,"Dortmund",280275
"1663",2016,3,"Dortmund",293106
"1664",2017,3,"Dortmund",300573
"1665",2018,3,"Dortmund",338656
"1666",2019,3,"Dortmund",365198
"1667",2020,3,"Dortmund",194912
"1668",2021,3,"Dortmund",230232
"1669",2022,3,"Dortmund",343172
"1670",2023,3,"Dortmund",384649
"1671",1998,4,"Dortmund",167181
"1672",1999,4,"Dortmund",158714
"1673",2000,4,"Dortmund",142962
"1674",2001,4,"Dortmund",162542
"1675",2002,4,"Dortmund",173065
"1676",2003,4,"Dortmund",187050
"1677",2004,4,"Dortmund",196514
"1678",2005,4,"Dortmund",182040
"1679",2006,4,"Dortmund",196615
"1680",2007,4,"Dortmund",218884
"1681",2008,4,"Dortmund",207379
"1682",2009,4,"Dortmund",199782
"1683",2010,4,"Dortmund",235882
"1684",2011,4,"Dortmund",262449
"1685",2012,4,"Dortmund",253379
"1686",2013,4,"Dortmund",291983
"1687",2014,4,"Dortmund",278437
"1688",2015,4,"Dortmund",325954
"1689",2016,4,"Dortmund",326803
"1690",2017,4,"Dortmund",318340
"1691",2018,4,"Dortmund",369223
"1692",2019,4,"Dortmund",380961
"1693",2020,4,"Dortmund",115653
"1694",2021,4,"Dortmund",254135
"1695",2022,4,"Dortmund",357505
"1696",2023,4,"Dortmund",400142
"1697",1998,1,"Bremerhaven",35461
"1698",1999,1,"Bremerhaven",42184
"1699",2000,1,"Bremerhaven",35870
"1700",2001,1,"Bremerhaven",35393
"1701",2002,1,"Bremerhaven",33563
"1702",2003,1,"Bremerhaven",30431
"1703",2004,1,"Bremerhaven",33255
"1704",2005,1,"Bremerhaven",38735
"1705",2006,1,"Bremerhaven",35474
"1706",2007,1,"Bremerhaven",37970
"1707",2008,1,"Bremerhaven",49487
"1708",2009,1,"Bremerhaven",51047
"1709",2010,1,"Bremerhaven",58812
"1710",2011,1,"Bremerhaven",64502
"1711",2012,1,"Bremerhaven",65734
"1712",2013,1,"Bremerhaven",64260
"1713",2014,1,"Bremerhaven",66639
"1714",2015,1,"Bremerhaven",68868
"1715",2016,1,"Bremerhaven",75572
"1716",2017,1,"Bremerhaven",72881
"1717",2018,1,"Bremerhaven",79283
"1718",2019,1,"Bremerhaven",85742
"1719",2020,1,"Bremerhaven",63581
"1720",2021,1,"Bremerhaven",26892
"1721",2022,1,"Bremerhaven",62079
"1722",2023,1,"Bremerhaven",85166
"1723",2024,1,"Bremerhaven",82298
"1724",1998,2,"Bremerhaven",51528
"1725",1999,2,"Bremerhaven",57172
"1726",2000,2,"Bremerhaven",56993
"1727",2001,2,"Bremerhaven",60029
"1728",2002,2,"Bremerhaven",64733
"1729",2003,2,"Bremerhaven",56491
"1730",2004,2,"Bremerhaven",58404
"1731",2005,2,"Bremerhaven",63893
"1732",2006,2,"Bremerhaven",64502
"1733",2007,2,"Bremerhaven",61943
"1734",2008,2,"Bremerhaven",78597
"1735",2009,2,"Bremerhaven",83626
"1736",2010,2,"Bremerhaven",99822
"1737",2011,2,"Bremerhaven",106758
"1738",2012,2,"Bremerhaven",102577
"1739",2013,2,"Bremerhaven",96258
"1740",2014,2,"Bremerhaven",105620
"1741",2015,2,"Bremerhaven",104859
"1742",2016,2,"Bremerhaven",115433
"1743",2017,2,"Bremerhaven",115434
"1744",2018,2,"Bremerhaven",125857
"1745",2019,2,"Bremerhaven",129659
"1746",2020,2,"Bremerhaven",43442
"1747",2021,2,"Bremerhaven",52223
"1748",2022,2,"Bremerhaven",117966
"1749",2023,2,"Bremerhaven",127358
"1750",2024,2,"Bremerhaven",118194
"1751",1998,3,"Bremerhaven",52346
"1752",1999,3,"Bremerhaven",61734
"1753",2000,3,"Bremerhaven",59864
"1754",2001,3,"Bremerhaven",63939
"1755",2002,3,"Bremerhaven",62424
"1756",2003,3,"Bremerhaven",61969
"1757",2004,3,"Bremerhaven",68219
"1758",2005,3,"Bremerhaven",66682
"1759",2006,3,"Bremerhaven",67335
"1760",2007,3,"Bremerhaven",70756
"1761",2008,3,"Bremerhaven",95337
"1762",2009,3,"Bremerhaven",95229
"1763",2010,3,"Bremerhaven",110184
"1764",2011,3,"Bremerhaven",116467
"1765",2012,3,"Bremerhaven",112896
"1766",2013,3,"Bremerhaven",111023
"1767",2014,3,"Bremerhaven",115215
"1768",2015,3,"Bremerhaven",118560
"1769",2016,3,"Bremerhaven",124335
"1770",2017,3,"Bremerhaven",129993
"1771",2018,3,"Bremerhaven",148117
"1772",2019,3,"Bremerhaven",147682
"1773",2020,3,"Bremerhaven",124860
"1774",2021,3,"Bremerhaven",153238
"1775",2022,3,"Bremerhaven",136857
"1776",2023,3,"Bremerhaven",138437
"1777",1998,4,"Bremerhaven",38530
"1778",1999,4,"Bremerhaven",48821
"1779",2000,4,"Bremerhaven",41881
"1780",2001,4,"Bremerhaven",44530
"1781",2002,4,"Bremerhaven",40917
"1782",2003,4,"Bremerhaven",41383
"1783",2004,4,"Bremerhaven",45209
"1784",2005,4,"Bremerhaven",41033
"1785",2006,4,"Bremerhaven",43447
"1786",2007,4,"Bremerhaven",48461
"1787",2008,4,"Bremerhaven",64104
"1788",2009,4,"Bremerhaven",69784
"1789",2010,4,"Bremerhaven",88411
"1790",2011,4,"Bremerhaven",88157
"1791",2012,4,"Bremerhaven",78416
"1792",2013,4,"Bremerhaven",80869
"1793",2014,4,"Bremerhaven",87564
"1794",2015,4,"Bremerhaven",88778
"1795",2016,4,"Bremerhaven",82211
"1796",2017,4,"Bremerhaven",90061
"1797",2018,4,"Bremerhaven",96163
"1798",2019,4,"Bremerhaven",102807
"1799",2020,4,"Bremerhaven",48790
"1800",2021,4,"Bremerhaven",90957
"1801",2022,4,"Bremerhaven",90295
"1802",2023,4,"Bremerhaven",96180
"1803",1998,1,"Bremen",210695
"1804",1999,1,"Bremen",220580
"1805",2000,1,"Bremen",263016
"1806",2001,1,"Bremen",250446
"1807",2002,1,"Bremen",226437
"1808",2003,1,"Bremen",235666
"1809",2004,1,"Bremen",259050
"1810",2005,1,"Bremen",235202
"1811",2006,1,"Bremen",257777
"1812",2007,1,"Bremen",274252
"1813",2008,1,"Bremen",291299
"1814",2009,1,"Bremen",266272
"1815",2010,1,"Bremen",284213
"1816",2011,1,"Bremen",307712
"1817",2012,1,"Bremen",326146
"1818",2013,1,"Bremen",331717
"1819",2014,1,"Bremen",392251
"1820",2015,1,"Bremen",408614
"1821",2016,1,"Bremen",422415
"1822",2017,1,"Bremen",407371
"1823",2018,1,"Bremen",436840
"1824",2019,1,"Bremen",466429
"1825",2020,1,"Bremen",407636
"1826",2021,1,"Bremen",148371
"1827",2022,1,"Bremen",291673
"1828",2023,1,"Bremen",469758
"1829",2024,1,"Bremen",494586
"1830",1998,2,"Bremen",266000
"1831",1999,2,"Bremen",270324
"1832",2000,2,"Bremen",300913
"1833",2001,2,"Bremen",300436
"1834",2002,2,"Bremen",282702
"1835",2003,2,"Bremen",290824
"1836",2004,2,"Bremen",310355
"1837",2005,2,"Bremen",300695
"1838",2006,2,"Bremen",347319
"1839",2007,2,"Bremen",338771
"1840",2008,2,"Bremen",353602
"1841",2009,2,"Bremen",358970
"1842",2010,2,"Bremen",375100
"1843",2011,2,"Bremen",413373
"1844",2012,2,"Bremen",398315
"1845",2013,2,"Bremen",444955
"1846",2014,2,"Bremen",474559
"1847",2015,2,"Bremen",514443
"1848",2016,2,"Bremen",520918
"1849",2017,2,"Bremen",529878
"1850",2018,2,"Bremen",554351
"1851",2019,2,"Bremen",604768
"1852",2020,2,"Bremen",162159
"1853",2021,2,"Bremen",208587
"1854",2022,2,"Bremen",589114
"1855",2023,2,"Bremen",618002
"1856",2024,2,"Bremen",643005
"1857",1998,3,"Bremen",272623
"1858",1999,3,"Bremen",293432
"1859",2000,3,"Bremen",315797
"1860",2001,3,"Bremen",297513
"1861",2002,3,"Bremen",301422
"1862",2003,3,"Bremen",297720
"1863",2004,3,"Bremen",347216
"1864",2005,3,"Bremen",322841
"1865",2006,3,"Bremen",332833
"1866",2007,3,"Bremen",346516
"1867",2008,3,"Bremen",367117
"1868",2009,3,"Bremen",361783
"1869",2010,3,"Bremen",399725
"1870",2011,3,"Bremen",422344
"1871",2012,3,"Bremen",415323
"1872",2013,3,"Bremen",467402
"1873",2014,3,"Bremen",513298
"1874",2015,3,"Bremen",542281
"1875",2016,3,"Bremen",541195
"1876",2017,3,"Bremen",561699
"1877",2018,3,"Bremen",580254
"1878",2019,3,"Bremen",648921
"1879",2020,3,"Bremen",431503
"1880",2021,3,"Bremen",526374
"1881",2022,3,"Bremen",682762
"1882",2023,3,"Bremen",676492
"1883",1998,4,"Bremen",246768
"1884",1999,4,"Bremen",288719
"1885",2000,4,"Bremen",278025
"1886",2001,4,"Bremen",269144
"1887",2002,4,"Bremen",281766
"1888",2003,4,"Bremen",299672
"1889",2004,4,"Bremen",300741
"1890",2005,4,"Bremen",306672
"1891",2006,4,"Bremen",320767
"1892",2007,4,"Bremen",352154
"1893",2008,4,"Bremen",351340
"1894",2009,4,"Bremen",352382
"1895",2010,4,"Bremen",399790
"1896",2011,4,"Bremen",411293
"1897",2012,4,"Bremen",416874
"1898",2013,4,"Bremen",464637
"1899",2014,4,"Bremen",533438
"1900",2015,4,"Bremen",528345
"1901",2016,4,"Bremen",519617
"1902",2017,4,"Bremen",540293
"1903",2018,4,"Bremen",565965
"1904",2019,4,"Bremen",628381
"1905",2020,4,"Bremen",199265
"1906",2021,4,"Bremen",456182
"1907",2022,4,"Bremen",599926
"1908",2023,4,"Bremen",594416
"1909",1998,1,"Bonn",243374
"1910",1999,1,"Bonn",263055
"1911",2000,1,"Bonn",248989
"1912",2001,1,"Bonn",247250
"1913",2002,1,"Bonn",225534
"1914",2003,1,"Bonn",215149
"1915",2004,1,"Bonn",235243
"1916",2005,1,"Bonn",244070
"1917",2006,1,"Bonn",246023
"1918",2007,1,"Bonn",270290
"1919",2008,1,"Bonn",255769
"1920",2009,1,"Bonn",254134
"1921",2010,1,"Bonn",243823
"1922",2011,1,"Bonn",281398
"1923",2012,1,"Bonn",290755
"1924",2013,1,"Bonn",288455
"1925",2014,1,"Bonn",312428
"1926",2015,1,"Bonn",319427
"1927",2016,1,"Bonn",318121
"1928",2017,1,"Bonn",346117
"1929",2018,1,"Bonn",345287
"1930",2019,1,"Bonn",368201
"1931",2020,1,"Bonn",286572
"1932",2021,1,"Bonn",88635
"1933",2022,1,"Bonn",205391
"1934",2023,1,"Bonn",316916
"1935",2024,1,"Bonn",334394
"1936",1998,2,"Bonn",292788
"1937",1999,2,"Bonn",307911
"1938",2000,2,"Bonn",292815
"1939",2001,2,"Bonn",264666
"1940",2002,2,"Bonn",261147
"1941",2003,2,"Bonn",248096
"1942",2004,2,"Bonn",276879
"1943",2005,2,"Bonn",323630
"1944",2006,2,"Bonn",306512
"1945",2007,2,"Bonn",287760
"1946",2008,2,"Bonn",337315
"1947",2009,2,"Bonn",301568
"1948",2010,2,"Bonn",318816
"1949",2011,2,"Bonn",332101
"1950",2012,2,"Bonn",349085
"1951",2013,2,"Bonn",368235
"1952",2014,2,"Bonn",393652
"1953",2015,2,"Bonn",395907
"1954",2016,2,"Bonn",419558
"1955",2017,2,"Bonn",419952
"1956",2018,2,"Bonn",420987
"1957",2019,2,"Bonn",452322
"1958",2020,2,"Bonn",88801
"1959",2021,2,"Bonn",115236
"1960",2022,2,"Bonn",416436
"1961",2023,2,"Bonn",455733
"1962",2024,2,"Bonn",453922
"1963",1998,3,"Bonn",282077
"1964",1999,3,"Bonn",287678
"1965",2000,3,"Bonn",298417
"1966",2001,3,"Bonn",288948
"1967",2002,3,"Bonn",265588
"1968",2003,3,"Bonn",253517
"1969",2004,3,"Bonn",280952
"1970",2005,3,"Bonn",308122
"1971",2006,3,"Bonn",301766
"1972",2007,3,"Bonn",310242
"1973",2008,3,"Bonn",316646
"1974",2009,3,"Bonn",306091
"1975",2010,3,"Bonn",334746
"1976",2011,3,"Bonn",344580
"1977",2012,3,"Bonn",354899
"1978",2013,3,"Bonn",379536
"1979",2014,3,"Bonn",409539
"1980",2015,3,"Bonn",402035
"1981",2016,3,"Bonn",422067
"1982",2017,3,"Bonn",418245
"1983",2018,3,"Bonn",428036
"1984",2019,3,"Bonn",480284
"1985",2020,3,"Bonn",246870
"1986",2021,3,"Bonn",353252
"1987",2022,3,"Bonn",439211
"1988",2023,3,"Bonn",452597
"1989",1998,4,"Bonn",269699
"1990",1999,4,"Bonn",273390
"1991",2000,4,"Bonn",266029
"1992",2001,4,"Bonn",254038
"1993",2002,4,"Bonn",235369
"1994",2003,4,"Bonn",247640
"1995",2004,4,"Bonn",271175
"1996",2005,4,"Bonn",290715
"1997",2006,4,"Bonn",294639
"1998",2007,4,"Bonn",293705
"1999",2008,4,"Bonn",288310
"2000",2009,4,"Bonn",278259
"2001",2010,4,"Bonn",311641
"2002",2011,4,"Bonn",337752
"2003",2012,4,"Bonn",323928
"2004",2013,4,"Bonn",363754
"2005",2014,4,"Bonn",372631
"2006",2015,4,"Bonn",378177
"2007",2016,4,"Bonn",379621
"2008",2017,4,"Bonn",411491
"2009",2018,4,"Bonn",400060
"2010",2019,4,"Bonn",452976
"2011",2020,4,"Bonn",143239
"2012",2021,4,"Bonn",304436
"2013",2022,4,"Bonn",389381
"2014",2023,4,"Bonn",406388
"2015",1998,1,"Bochum",113655
"2016",1999,1,"Bochum",103778
"2017",2000,1,"Bochum",100902
"2018",2001,1,"Bochum",106746
"2019",2002,1,"Bochum",105124
"2020",2003,1,"Bochum",97823
"2021",2004,1,"Bochum",111747
"2022",2005,1,"Bochum",109959
"2023",2006,1,"Bochum",126336
"2024",2007,1,"Bochum",115416
"2025",2008,1,"Bochum",117439
"2026",2009,1,"Bochum",117957
"2027",2010,1,"Bochum",124547
"2028",2011,1,"Bochum",134085
"2029",2012,1,"Bochum",147772
"2030",2013,1,"Bochum",141957
"2031",2014,1,"Bochum",141649
"2032",2015,1,"Bochum",147254
"2033",2016,1,"Bochum",147808
"2034",2017,1,"Bochum",153468
"2035",2018,1,"Bochum",154191
"2036",2019,1,"Bochum",150802
"2037",2020,1,"Bochum",114365
"2038",2021,1,"Bochum",25158
"2039",2022,1,"Bochum",91161
"2040",2023,1,"Bochum",147664
"2041",2024,1,"Bochum",165878
"2042",1998,2,"Bochum",116587
"2043",1999,2,"Bochum",114458
"2044",2000,2,"Bochum",114207
"2045",2001,2,"Bochum",114010
"2046",2002,2,"Bochum",105814
"2047",2003,2,"Bochum",111292
"2048",2004,2,"Bochum",119773
"2049",2005,2,"Bochum",116648
"2050",2006,2,"Bochum",134684
"2051",2007,2,"Bochum",121912
"2052",2008,2,"Bochum",141828
"2053",2009,2,"Bochum",131146
"2054",2010,2,"Bochum",148714
"2055",2011,2,"Bochum",152410
"2056",2012,2,"Bochum",150136
"2057",2013,2,"Bochum",159400
"2058",2014,2,"Bochum",160802
"2059",2015,2,"Bochum",159185
"2060",2016,2,"Bochum",167155
"2061",2017,2,"Bochum",165291
"2062",2018,2,"Bochum",155393
"2063",2019,2,"Bochum",162565
"2064",2020,2,"Bochum",27828
"2065",2021,2,"Bochum",43607
"2066",2022,2,"Bochum",149841
"2067",2023,2,"Bochum",180388
"2068",2024,2,"Bochum",210805
"2069",1998,3,"Bochum",106157
"2070",1999,3,"Bochum",98211
"2071",2000,3,"Bochum",102506
"2072",2001,3,"Bochum",102539
"2073",2002,3,"Bochum",94296
"2074",2003,3,"Bochum",101811
"2075",2004,3,"Bochum",121152
"2076",2005,3,"Bochum",107862
"2077",2006,3,"Bochum",122192
"2078",2007,3,"Bochum",119265
"2079",2008,3,"Bochum",129522
"2080",2009,3,"Bochum",131785
"2081",2010,3,"Bochum",153201
"2082",2011,3,"Bochum",147279
"2083",2012,3,"Bochum",136546
"2084",2013,3,"Bochum",158981
"2085",2014,3,"Bochum",158426
"2086",2015,3,"Bochum",154161
"2087",2016,3,"Bochum",158953
"2088",2017,3,"Bochum",158607
"2089",2018,3,"Bochum",159704
"2090",2019,3,"Bochum",160624
"2091",2020,3,"Bochum",72195
"2092",2021,3,"Bochum",88111
"2093",2022,3,"Bochum",168498
"2094",2023,3,"Bochum",179195
"2095",1998,4,"Bochum",113101
"2096",1999,4,"Bochum",111597
"2097",2000,4,"Bochum",111169
"2098",2001,4,"Bochum",114993
"2099",2002,4,"Bochum",106582
"2100",2003,4,"Bochum",111473
"2101",2004,4,"Bochum",121939
"2102",2005,4,"Bochum",133703
"2103",2006,4,"Bochum",126606
"2104",2007,4,"Bochum",134642
"2105",2008,4,"Bochum",141542
"2106",2009,4,"Bochum",131595
"2107",2010,4,"Bochum",153580
"2108",2011,4,"Bochum",153761
"2109",2012,4,"Bochum",145312
"2110",2013,4,"Bochum",175185
"2111",2014,4,"Bochum",163909
"2112",2015,4,"Bochum",169032
"2113",2016,4,"Bochum",168301
"2114",2017,4,"Bochum",168966
"2115",2018,4,"Bochum",165478
"2116",2019,4,"Bochum",169301
"2117",2020,4,"Bochum",52696
"2118",2021,4,"Bochum",120137
"2119",2022,4,"Bochum",166553
"2120",2023,4,"Bochum",178039
"2121",1998,1,"Bielefeld",99725
"2122",1999,1,"Bielefeld",108291
"2123",2000,1,"Bielefeld",127686
"2124",2001,1,"Bielefeld",118177
"2125",2002,1,"Bielefeld",113249
"2126",2003,1,"Bielefeld",110062
"2127",2004,1,"Bielefeld",115774
"2128",2005,1,"Bielefeld",113899
"2129",2006,1,"Bielefeld",118240
"2130",2007,1,"Bielefeld",119575
"2131",2008,1,"Bielefeld",119356
"2132",2009,1,"Bielefeld",112528
"2133",2010,1,"Bielefeld",111205
"2134",2011,1,"Bielefeld",120626
"2135",2012,1,"Bielefeld",124409
"2136",2013,1,"Bielefeld",128285
"2137",2014,1,"Bielefeld",128844
"2138",2015,1,"Bielefeld",128830
"2139",2016,1,"Bielefeld",129075
"2140",2017,1,"Bielefeld",163528
"2141",2018,1,"Bielefeld",149765
"2142",2019,1,"Bielefeld",153170
"2143",2020,1,"Bielefeld",122768
"2144",2021,1,"Bielefeld",36063
"2145",2022,1,"Bielefeld",96778
"2146",2023,1,"Bielefeld",127472
"2147",2024,1,"Bielefeld",132278
"2148",1998,2,"Bielefeld",108943
"2149",1999,2,"Bielefeld",120230
"2150",2000,2,"Bielefeld",125826
"2151",2001,2,"Bielefeld",131579
"2152",2002,2,"Bielefeld",118068
"2153",2003,2,"Bielefeld",113187
"2154",2004,2,"Bielefeld",119741
"2155",2005,2,"Bielefeld",131062
"2156",2006,2,"Bielefeld",132114
"2157",2007,2,"Bielefeld",127349
"2158",2008,2,"Bielefeld",130873
"2159",2009,2,"Bielefeld",125221
"2160",2010,2,"Bielefeld",128336
"2161",2011,2,"Bielefeld",129263
"2162",2012,2,"Bielefeld",135447
"2163",2013,2,"Bielefeld",145106
"2164",2014,2,"Bielefeld",145075
"2165",2015,2,"Bielefeld",154763
"2166",2016,2,"Bielefeld",162976
"2167",2017,2,"Bielefeld",184945
"2168",2018,2,"Bielefeld",177902
"2169",2019,2,"Bielefeld",180743
"2170",2020,2,"Bielefeld",39217
"2171",2021,2,"Bielefeld",49530
"2172",2022,2,"Bielefeld",163326
"2173",2023,2,"Bielefeld",161722
"2174",2024,2,"Bielefeld",166973
"2175",1998,3,"Bielefeld",99479
"2176",1999,3,"Bielefeld",109106
"2177",2000,3,"Bielefeld",131682
"2178",2001,3,"Bielefeld",131487
"2179",2002,3,"Bielefeld",117982
"2180",2003,3,"Bielefeld",113571
"2181",2004,3,"Bielefeld",118624
"2182",2005,3,"Bielefeld",123853
"2183",2006,3,"Bielefeld",125591
"2184",2007,3,"Bielefeld",126321
"2185",2008,3,"Bielefeld",132297
"2186",2009,3,"Bielefeld",131728
"2187",2010,3,"Bielefeld",128894
"2188",2011,3,"Bielefeld",135328
"2189",2012,3,"Bielefeld",141968
"2190",2013,3,"Bielefeld",147389
"2191",2014,3,"Bielefeld",146142
"2192",2015,3,"Bielefeld",145795
"2193",2016,3,"Bielefeld",163764
"2194",2017,3,"Bielefeld",186883
"2195",2018,3,"Bielefeld",181667
"2196",2019,3,"Bielefeld",186562
"2197",2020,3,"Bielefeld",99830
"2198",2021,3,"Bielefeld",135414
"2199",2022,3,"Bielefeld",173065
"2200",2023,3,"Bielefeld",171506
"2201",1998,4,"Bielefeld",105061
"2202",1999,4,"Bielefeld",113557
"2203",2000,4,"Bielefeld",118975
"2204",2001,4,"Bielefeld",129894
"2205",2002,4,"Bielefeld",110828
"2206",2003,4,"Bielefeld",117147
"2207",2004,4,"Bielefeld",121870
"2208",2005,4,"Bielefeld",119110
"2209",2006,4,"Bielefeld",122653
"2210",2007,4,"Bielefeld",126492
"2211",2008,4,"Bielefeld",121661
"2212",2009,4,"Bielefeld",118390
"2213",2010,4,"Bielefeld",123625
"2214",2011,4,"Bielefeld",130201
"2215",2012,4,"Bielefeld",134737
"2216",2013,4,"Bielefeld",145387
"2217",2014,4,"Bielefeld",142028
"2218",2015,4,"Bielefeld",143769
"2219",2016,4,"Bielefeld",164171
"2220",2017,4,"Bielefeld",169889
"2221",2018,4,"Bielefeld",170569
"2222",2019,4,"Bielefeld",173683
"2223",2020,4,"Bielefeld",56784
"2224",2021,4,"Bielefeld",128807
"2225",2022,4,"Bielefeld",149660
"2226",2023,4,"Bielefeld",149286
"2227",1998,1,"Berlin",1620244
"2228",1999,1,"Berlin",1712355
"2229",2000,1,"Berlin",2144452
"2230",2001,1,"Berlin",2221531
"2231",2002,1,"Berlin",2166353
"2232",2003,1,"Berlin",2058453
"2233",2004,1,"Berlin",2369140
"2234",2005,1,"Berlin",2779063
"2235",2006,1,"Berlin",2949531
"2236",2007,1,"Berlin",3354160
"2237",2008,1,"Berlin",3466896
"2238",2009,1,"Berlin",3429001
"2239",2010,1,"Berlin",4019899
"2240",2011,1,"Berlin",4073731
"2241",2012,1,"Berlin",4673672
"2242",2013,1,"Berlin",5244602
"2243",2014,1,"Berlin",5409926
